specimen	reagent_tissue	litter	vendor	mouse	tissue_type	log_IL1a	VEGF	FGF	IL17	IL2	MIG	IL4	cage	IL1a
Control_XXXXXXXX_01_AE____	Control	XXXXXXXX	XXXXXXXX	1	AE	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_02_AE____	Control	XXXXXXXX	XXXXXXXX	2	AE	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_03_AE____	Control	XXXXXXXX	XXXXXXXX	3	AE	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_04_AE____	Control	XXXXXXXX	XXXXXXXX	4	AE	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_05_AE____	Control	XXXXXXXX	XXXXXXXX	5	AE	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_06_AE____	Control	XXXXXXXX	XXXXXXXX	6	AE	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_07_AE____	Control	XXXXXXXX	XXXXXXXX	7	AE	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_08_AE____	Control	XXXXXXXX	XXXXXXXX	8	AE	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_01_Blank_	Control	XXXXXXXX	XXXXXXXX	1	Blank	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_02_Blank_	Control	XXXXXXXX	XXXXXXXX	2	Blank	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_03_Blank_	Control	XXXXXXXX	XXXXXXXX	3	Blank	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_04_Blank_	Control	XXXXXXXX	XXXXXXXX	4	Blank	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tissue__CharRiv1_10_Cecum_	Tissue	CharRiv1	Charles_River	CR1_10	Cecum	0.781728778	64.43198319	713.2781485	0.268937937	13.48828239	25.04194319	6.359793836	CR_1_2	6.049629503
